ID	forward	reverse	seed	SRA	Clade	Code
D_ananassae			seeds/D.ananassae_coxI.fasta	SRR12836360	Arthropoda	5
M_musculus			seeds/M.musculus_coxI.fasta	SRR13326502	Chordata	2
C_elegans			seeds/C.elegans_coxI.fasta	SRR13374450	Nematoda	5
D_rerio			seeds/D.rerio_coxI.fasta	SRR13166697	Chordata	2
O_vulgaris			seeds/O.vulgaris_coxI.fasta	SRR8079591	Mollusca	5
